"JURISDICTION","Sum(COUNT)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Drug_Test_Per_10k_Licences"
"QLD",118070,"QLD","Male",2021,108028,151715,167404,350958,336241,324349,272581,188482,67089,1966847,600.3008876643684
"QLD",118070,"QLD","Female",2022,109166,151169,164543,359620,339284,325990,275631,184690,58156,1968249,599.8732883898327
"NSW",165585,"NSW","Female",2020,145362,205146,234777,532347,495704,457434,380069,234621,76223,2761683,599.5800386937965
"SA",67512,"SA","Persons",2010,66915,90102,94309,193141,216461,203211,154220,79680,32881,1130920,596.9653025855056
"NSW",165585,"NSW","Male",2017,147304,207878,233721,513477,496518,471420,388287,235740,87983,2782328,595.1311276024969
"SA",67512,"SA","Persons",2011,66660,91188,96290,191587,215927,205084,159527,79679,32771,1138713,592.8798564695406
"QLD",118070,"QLD","Male",2022,110829,153158,167736,355424,339782,330142,279798,196401,71618,2004888,588.9107022437164
"QLD",118070,"QLD","Female",2023,113803,152270,165806,363897,344430,330442,283022,192974,62117,2008761,587.7752505151185
"SA",67512,"SA","Persons",2012,65534,91544,97478,191909,216419,207297,164911,83223,33506,1151821,586.1327411116832
"NSW",165585,"NSW","Male",2018,149144,209002,237852,524602,500347,471429,393167,248106,91469,2825118,586.1171108605022
"NSW",165585,"NSW","Female",2021,148692,209726,237919,547953,500041,463169,392804,250226,81753,2832283,584.6343744604617
"NSW",165585,"NSW","Male",2019,149146,211456,241483,534957,503105,472224,398954,258102,94788,2864215,578.1165170910704
"QLD",118070,"QLD","Male",2023,116554,155177,168903,359210,343798,333972,286412,203708,75228,2042962,577.9353703103632
"NSW",165585,"NSW","Male",2020,149594,212151,243677,541750,505083,473756,401424,262687,96367,2886489,573.6553993450174
"QLD",118070,"QLD","Female",2024,119327,154612,169238,371114,352831,334893,289638,199721,67426,2058800,573.4894113075578
"SA",67512,"SA","Persons",2013,65346,93894,99493,195336,218214,211739,172784,89285,37201,1183292,570.5438725183641
"NSW",165585,"NSW","Female",2022,150262,210957,238305,553612,505578,470636,405012,270862,103237,2908461,569.3217134422638
"SA",67512,"SA","Persons",2014,64702,94285,99081,197818,216467,214622,177794,93706,38079,1196554,564.2202524917387
"QLD",118070,"QLD","Male",2024,123238,159803,173322,368228,351290,337954,292834,208696,80785,2096150,563.2707582949694
"NSW",165585,"NSW","Male",2021,153123,216686,245600,551680,510624,476125,410908,276285,102390,2943421,562.5596881995474
"NSW",165585,"NSW","Female",2023,155276,212868,240555,558605,512166,473053,411616,279774,108246,2952159,560.8945859623415
"SA",67512,"SA","Persons",2015,63501,94408,98674,199566,214527,215517,181594,99128,39279,1206194,559.7109586020159
"SA",67512,"SA","Persons",2016,63880,94469,99045,202725,212583,216185,185595,111705,42980,1219494,553.6066598113644
"NSW",165585,"NSW","Female",2024,161512,215936,245605,564586,521052,476210,419205,288559,116577,3009242,550.2548482308835
"SA",67512,"SA","Persons",2017,63081,94658,99593,205973,211581,216155,186297,112684,42084,1232106,547.9398688099888
"NSW",165585,"NSW","Male",2022,157645,221653,250350,562177,520646,484585,425643,298886,129966,3051551,542.6257008321342
"SA",67512,"SA","Persons",2018,63558,94773,100387,209205,210073,216126,188749,119367,43777,1246015,541.8233327849183
"SA",67512,"SA","Persons",2019,62480,95112,101255,212604,208125,215895,191708,125142,45895,1258216,536.5692377143512
"NSW",165585,"NSW","Male",2023,165089,227016,254410,567796,527996,484962,430051,302444,128234,3087998,536.2212022158046
"SA",67512,"SA","Persons",2020,60856,94767,102635,216290,207130,216078,194470,131497,48225,1271958,530.7722424797045
"NSW",165585,"NSW","Male",2024,172182,236109,263885,577743,538377,486454,437167,309618,135449,3156984,524.50376688637
"SA",67512,"SA","Persons",2021,63947,95510,105500,220974,206416,216602,197985,137584,49961,1294479,521.5380087278356
"VIC",101075,"VIC","Female",2010,107699,167949,185030,383814,379942,323517,225482,113917,53530,1940880,520.7689295577264
"VIC",101075,"VIC","Female",2011,107718,170829,189697,383649,386840,330975,237310,118398,57282,1982698,509.78515134427937
"SA",67512,"SA","Persons",2022,66620,96567,110117,229102,208717,217782,202478,145187,52569,1329139,507.9378454774106
"SA",67512,"SA","Persons",2023,68290,96690,110983,231247,210402,217217,203731,147564,53936,1340060,503.7983373878781
"VIC",101075,"VIC","Female",2012,106561,172828,193490,387392,393330,338903,247450,124303,57363,2021620,499.9703208318081
"VIC",101075,"VIC","Male",2010,114885,174814,192335,385617,382897,330759,247722,139757,68651,2037437,496.08895882424827
"SA",67512,"SA","Persons",2024,71092,97551,111917,235620,215033,216015,206514,151892,56914,1362548,495.48346186703145
"WA",76921,"WA","Persons",2010,48556,132960,150778,306966,320360,279629,195751,98845,32620,1566465,491.04831579384154
"VIC",101075,"VIC","Female",2013,105888,173604,197944,397253,399368,347912,260558,130354,59060,2071941,487.82759740745513
"VIC",101075,"VIC","Male",2011,115106,177714,198189,388550,388434,337924,256308,143596,72059,2077880,486.4332877740774
"WA",76921,"WA","Persons",2011,46703,135289,156966,309917,327335,286781,205556,102466,34780,1605793,479.02189136457815
"VIC",101075,"VIC","Female",2014,105605,174835,201073,406378,403234,354991,269879,138019,59905,2113919,478.14036394015096
"VIC",101075,"VIC","Male",2012,113479,179156,203208,394661,393913,345262,264146,148396,71881,2114102,478.0989753569128
"WA",76921,"WA","Persons",2012,43637,131116,157227,310812,330205,292454,213651,107443,36681,1623226,473.87732823402285
"VIC",101075,"VIC","Female",2015,105444,175998,204668,416987,407574,360248,278850,145692,57662,2153123,469.43439831351947
"VIC",101075,"VIC","Male",2013,112710,178658,207022,406988,398659,353550,273778,152996,71926,2156287,468.74557978599324
"VIC",101075,"VIC","Male",2014,112017,181058,209702,418036,402445,360467,281094,158908,73038,2196765,460.10838665036994
"VIC",101075,"VIC","Female",2016,106409,176253,208208,429888,411209,365510,288206,153949,60292,2199924,459.4476900111095
"VIC",101075,"VIC","Male",2015,111681,182835,212747,428943,405740,365539,287633,165404,70952,2231474,452.9517260788161
"VIC",101075,"VIC","Female",2017,106698,177817,210174,442985,415074,369933,293085,167705,64190,2247661,449.68969964776716
"VIC",101075,"VIC","Male",2016,111752,184757,214877,441997,410495,369749,295237,172191,73464,2274519,444.37966884426993
"NT",5879,"NT","Persons",2010,6697,12492,15422,29757,28061,23265,12625,3483,759,132561,443.4939386395697
"NT",5879,"NT","Persons",2011,6681,12362,15609,29177,27920,23430,13256,3783,817,133035,441.9137820874206
"VIC",101075,"VIC","Female",2018,110685,178003,213601,457716,418024,375126,299887,179866,67164,2300072,439.44276526995674
"VIC",101075,"VIC","Male",2017,110497,186760,216278,454953,415174,374355,298172,184444,77224,2317857,436.0709051507491
"VIC",101075,"VIC","Female",2019,109241,178175,214472,470735,419785,380880,307496,190383,71172,2342339,431.5131157360228
"VIC",101075,"VIC","Male",2018,112020,188154,219936,468452,419336,379272,303778,194644,79943,2365535,427.2817776951091
"VIC",101075,"VIC","Female",2020,97458,176787,214527,481499,422502,386455,314291,201972,76280,2371771,426.1583432801902
"NT",5879,"NT","Persons",2012,6771,13038,16434,30230,28309,24207,14036,4164,888,138077,425.7769215727456
"VIC",101075,"VIC","Male",2019,110770,189177,224866,479303,421416,383771,310371,202936,83388,2405998,420.09594355440026
"VIC",101075,"VIC","Female",2021,107233,176642,214329,489905,421746,392372,320572,212668,81088,2416555,418.2607058395112
"VIC",101075,"VIC","Male",2020,99508,188118,229330,488718,425183,388781,316522,211499,88021,2435680,414.97651579846286
