"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"NSW",26153,"NSW","Persons",2020,294956,417297,478454,1074097,1000800,931260,781544,497326,172593,5648327,46.302205945229446
"NSW",26153,"NSW","Persons",2021,301815,426412,483519,1099633,1010670,939385,803775,526533,184147,5775889,45.27960977089414
"NSW",26153,"NSW","Persons",2022,307908,432610,488658,1115792,1026229,955302,830732,569775,233210,5960216,43.87928222735552
"NSW",26153,"NSW","Persons",2023,320366,439886,494966,1126407,1040169,958083,841753,582242,236486,6040358,43.29710258895251
"NSW",26153,"NSW","Persons",2024,333694,452045,509490,1142329,1059429,962664,856372,598177,252026,6166226,42.4133011018409
"VIC",0,"VIC","Female",2010,107699,167949,185030,383814,379942,323517,225482,113917,53530,1940880,0
"VIC",0,"VIC","Female",2011,107718,170829,189697,383649,386840,330975,237310,118398,57282,1982698,0
"VIC",0,"VIC","Female",2012,106561,172828,193490,387392,393330,338903,247450,124303,57363,2021620,0
"VIC",0,"VIC","Female",2013,105888,173604,197944,397253,399368,347912,260558,130354,59060,2071941,0
"VIC",0,"VIC","Female",2014,105605,174835,201073,406378,403234,354991,269879,138019,59905,2113919,0
"VIC",0,"VIC","Female",2015,105444,175998,204668,416987,407574,360248,278850,145692,57662,2153123,0
"VIC",0,"VIC","Female",2016,106409,176253,208208,429888,411209,365510,288206,153949,60292,2199924,0
"VIC",0,"VIC","Female",2017,106698,177817,210174,442985,415074,369933,293085,167705,64190,2247661,0
"VIC",0,"VIC","Female",2018,110685,178003,213601,457716,418024,375126,299887,179866,67164,2300072,0
"VIC",0,"VIC","Female",2019,109241,178175,214472,470735,419785,380880,307496,190383,71172,2342339,0
"VIC",0,"VIC","Female",2020,97458,176787,214527,481499,422502,386455,314291,201972,76280,2371771,0
"VIC",0,"VIC","Female",2021,107233,176642,214329,489905,421746,392372,320572,212668,81088,2416555,0
"VIC",0,"VIC","Female",2022,112344,177820,215658,496783,426091,397689,327570,221344,86907,2462206,0
"VIC",0,"VIC","Female",2023,119592,182273,220101,508797,435676,402315,334868,231179,92588,2527389,0
"VIC",0,"VIC","Female",2024,125595,189215,229200,524775,448121,407090,342488,239606,100045,2606135,0
"VIC",0,"VIC","Male",2010,114885,174814,192335,385617,382897,330759,247722,139757,68651,2037437,0
